id;code;donem_id;month;week;date_start;date_finish;fiscal_year_id;jhi_entry
2018201901;H01;2339;201809;1;2018-09-01;2018-09-07;20182019;1
2018201902;H02;2339;201809;2;2018-09-08;2018-09-14;20182019;1
2018201903;H03;2337;201809;3;2018-09-15;2018-09-21;20182019;1
2018201904;H04;2337;201809;4;2018-09-22;2018-09-28;20182019;1
2018201905;H05;2337;201810;5;2018-09-29;2018-10-05;20182019;1
2018201906;H06;2337;201810;6;2018-10-06;2018-10-12;20182019;1
2018201907;H07;2337;201810;7;2018-10-13;2018-10-19;20182019;1
2018201908;H08;2337;201810;8;2018-10-21;2018-10-26;20182019;1
2018201909;H09;2337;201811;9;2018-10-27;2018-11-02;20182019;1
2018201910;H10;2337;201811;10;2018-11-03;2018-11-09;20182019;1
2018201911;H11;2337;201811;11;2018-11-10;2018-11-16;20182019;1
2018201912;H12;2337;201811;12;2018-11-17;2018-11-23;20182019;1
2018201913;H13;2337;201811;13;2018-11-24;2018-11-30;20182019;1
2018201914;H14;2337;201812;14;2018-12-01;2018-12-07;20182019;1
2018201915;H15;2337;201812;15;2018-12-08;2018-12-14;20182019;1
2018201916;H16;2337;201812;16;2018-12-15;2018-12-21;20182019;1
2018201917;H17;2337;201812;17;2018-12-22;2018-12-28;20182019;1
2018201918;H18;2337;201901;18;2018-12-29;2019-01-04;20182019;1
2018201919;H19;2337;201901;19;2019-01-05;2019-01-11;20182019;1
2018201920;H20;2337;201901;20;2019-01-12;2019-01-18;20182019;1
2018201921;H21;2341;201901;21;2019-01-19;2019-01-25;20182019;1
2018201922;H22;2341;201902;22;2019-01-26;2019-02-01;20182019;1
2018201923;H23;2337;201902;23;2019-02-02;2019-02-08;20182019;1
2018201924;H24;2337;201902;24;2019-02-09;2019-02-15;20182019;1
2018201925;H25;2337;201902;25;2019-02-16;2019-02-22;20182019;1
2018201926;H26;2337;201903;26;2019-02-23;2019-03-01;20182019;1
2018201927;H27;2337;201903;27;2019-03-02;2018-03-08;20182019;1
2018201928;H28;2337;201903;28;2019-03-09;2018-03-15;20182019;1
2018201929;H29;2337;201903;29;2019-03-16;2018-03-22;20182019;1
2018201930;H30;2337;201903;30;2019-03-23;2019-03-29;20182019;1
2018201931;H31;2337;201804;31;2018-03-30;2019-04-05;20182019;1
2018201932;H32;2337;201804;32;2019-04-06;2019-04-12;20182019;1
2018201933;H33;2337;201804;33;2019-04-13;2019-04-19;20182019;1
2018201934;H34;2337;201804;34;2019-04-20;2019-04-26;20182019;1
2018201935;H35;2337;201905;35;2019-04-27;2019-05-03;20182019;1
2018201936;H36;2337;201905;36;2019-05-04;2019-05-10;20182019;1
2018201937;H37;2337;201905;37;2019-05-11;2019-05-17;20182019;1
2018201938;H38;2337;201905;38;2019-05-18;2019-05-24;20182019;1
2018201939;H39;2337;201905;39;2019-05-25;2019-05-31;20182019;1
2018201940;H40;2337;201906;40;2019-06-01;2019-06-07;20182019;1
2018201941;H41;2337;201906;41;2019-06-08;2019-06-14;20182019;1
2018201942;H42;2340;201906;42;2019-06-15;2019-06-21;20182019;1
2018201943;H43;2340;201906;43;2019-06-22;2019-06-28;20182019;1
2018201944;H44;2357;201907;44;2019-06-29;2019-07-05;20182019;1
2018201945;H45;2357;201907;45;2019-07-06;2019-07-12;20182019;1
2018201946;H46;2357;201907;46;2019-07-13;2019-07-19;20182019;1
2018201947;H47;2357;201907;47;2019-07-20;2019-07-26;20182019;1
2018201948;H48;2357;201908;48;2019-07-27;2019-08-02;20182019;1
2018201949;H49;2357;201908;49;2019-08-03;2019-08-09;20182019;1
2018201950;H50;2357;201908;50;2019-08-10;2019-08-16;20182019;1
2018201951;H51;2357;201908;51;2019-08-17;2019-08-23;20182019;1
2018201952;H52;2357;201908;52;2019-08-24;2019-08-30;20182019;1
